"","mean_RT","H2303_1","L2303_1"
"P102",23.1566666666667,23.16,0
"P103",23.6786666666667,23.682,0
"P104",23.9011666666667,23.873,23.936
"P105",24.0346666666667,24.038,0
"P106",24.3586666666667,0,24.362
"P107",24.4516666666667,24.458,24.452
"P108",24.7791666666667,24.757,24.808
"P109",25.0111666666667,25.043,24.986
"P110",25.2116666666667,25.215,0
"P111",25.4021666666667,25.431,25.38
"P112",25.4786666666667,0,25.482
"P113",25.6756666666667,25.66,25.698
"P114",26.0956666666667,26.099,0
"P115",26.2356666666667,26.239,0
"P116",26.2931666666667,26.29,26.303
"P117",26.3696666666667,26.373,0
"P118",26.5666666666667,26.57,0
"P119",26.9861666666667,26.964,27.015
"P120",27.1396666666667,27.143,0
"P121",27.2596666666667,27.263,0
"P122",27.4956666666667,27.499,0
"P123",27.6796666666667,27.683,0
"P124",28.1286666666667,28.091,28.173
"P125",28.7361666666667,28.714,28.765
"P126",28.9461666666667,28.937,28.962
"P127",29.0546666666667,29.058,0
"P128",29.1626666666667,29.166,0
"P129",29.3086666666667,0,29.312
"P130",29.3846666666667,0,29.388
"P131",29.8496666666667,29.853,0
"P132",30.1106666666667,30.114,0
"P133",30.4986666666667,30.502,0
"P134",30.8036666666667,30.82,30.794
"P135",31.1916666666667,31.195,0
"P136",31.4016666666667,31.405,0
"P137",31.5321666666667,31.513,31.558
"P138",31.8086666666667,31.812,0
"P139",32.0886666666667,32.092,0
"P140",32.2226666666667,0,32.226
"P141",32.5821666666667,32.595,32.576
"P142",32.8456666666667,32.849,0
"P143",33.0936666666667,0,33.097
"P144",33.2336666666667,33.237,0
"P145",33.6476666666667,33.651,0
"P146",33.8196666666667,33.823,0
"P147",33.9336666666667,33.937,0
"P148",34.1086666666667,34.109,34.115
"P149",34.2866666666667,34.306,34.274
"P150",34.7321666666667,34.739,34.732
"P151",34.8626666666667,34.866,0
"P152",35.0311666666667,35.082,34.987
"P153",35.1936666666667,35.197,0
"P154",35.3586666666667,35.362,0
"P155",35.4666666666667,35.47,0
"P156",35.6956666666667,35.699,0
"P157",35.9251666666667,35.941,35.916
"P158",36.0966666666667,36.1,0
"P159",36.4661666666667,36.463,36.476
"P160",37.0636666666667,37.067,0
"P161",37.1906666666667,37.194,0
"P162",37.3246666666667,0,37.328
"P163",37.4996666666667,37.519,37.487
"P164",38.0116666666667,38.015,0
"P165",38.1581666666667,38.136,38.187
"P166",38.6896666666667,38.696,38.69
"P167",39.0106666666667,39.027,39.001
"P168",39.2336666666667,39.237,0
"P169",39.6086666666667,39.612,0
"P170",39.9136666666667,39.917,0
"P171",40.1046666666667,40.108,0
"P172",40.2066666666667,40.21,0
"P173",40.2956666666667,40.299,0
"P174",40.4741666666667,40.49,40.465
"P175",40.7666666666667,40.77,40.77
"P176",40.9196666666667,40.923,0
"P177",41.0526666666667,41.056,0
"P178",41.1736666666667,41.177,0
"P179",41.2696666666667,41.273,0
"P180",41.3776666666667,41.381,0
"P181",41.4986666666667,41.502,0
"P182",41.6126666666667,41.616,0
"P183",41.7146666666667,41.718,0
"P184",41.8831666666667,41.896,41.877
"P185",42.0966666666667,42.1,0
"P186",42.2746666666667,42.278,42.278
"P187",42.5036666666667,42.507,0
"P188",42.7166666666667,42.723,42.717
"P189",42.9106666666667,42.914,0
"P190",43.2381666666667,43.251,43.232
"P191",43.6426666666667,43.646,0
"P192",43.7826666666667,43.786,0
"P193",43.8516666666667,43.855,0
"P194",44.0426666666667,44.046,0
"P195",44.1826666666667,44.186,0
"P196",44.2976666666667,44.301,0
"P197",44.5486666666667,44.568,44.536
"P198",44.9466666666667,44.95,0
"P199",45.3156666666667,45.319,0
"P200",45.5191666666667,45.51,45.535
"P201",45.5886666666667,45.592,0
"P202",45.8211666666667,45.84,45.809
"P203",46.2156666666667,46.197,46.241
"P204",46.3206666666667,46.324,0
"P205",46.5246666666667,46.528,0
"P206",46.6706666666667,46.674,0
"P207",46.8106666666667,46.814,0
"P208",46.9246666666667,46.928,0
"P209",47.0651666666667,47.075,47.062
"P210",47.4336666666667,47.437,0
"P211",47.7326666666667,47.736,0
"P212",47.8346666666667,47.838,47.838
"P213",47.9746666666667,47.978,0
"P214",48.2676666666667,48.271,48.271
"P215",48.6236666666667,48.627,0
"P216",48.9416666666667,48.945,0
"P217",49.1196666666667,49.123,0
"P218",49.5776666666667,49.581,0
"P219",49.9086666666667,0,49.912
"P220",51.0951666666667,51.102,51.095
"P221",51.5306666666667,51.534,51.534
"P222",52.0466666666667,52.05,0
"P223",52.8861666666667,52.902,52.877
"P224",54.0661666666667,54.047,54.092
"P225",55.0141666666667,55.033,55.002
"P226",56.1626666666667,56.166,0
"P227",56.7156666666667,56.719,0
"P228",57.5746666666667,57.578,0
